"playerNr"	"period"	"nAnimals"	"animalName"	"treatment"	"firstEstimate"	"secondEstimate"	"p1"	"p2"	"p3"	"meanP"	"varP"	"skewP"	"counterI"	"counterII"	"counterIII"	"age"	"gender"	"SocInfo"	"S"	"emulTreat"	"case"	"inaccuracy"	"d1"	"d2"	"d3"	"e2"	"normS"
"1"	1	1	93	"ant"	1	81	85	98	0	0	0	0	0	1	1	1	NA	NA	"0.235294117647059"	0.235294117647059	NA	3	12	0.209876543209877	NA	NA	0.0493827160493827	NA
"2"	1	2	78	"bee"	1	64	67	77	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	14	0.203125	NA	NA	0.046875	NA
"3"	1	3	59	"flamingo"	1	57	59	68	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	2	0.192982456140351	NA	NA	0.0350877192982456	NA
"4"	1	4	74	"crane"	1	83	77	67	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.375"	0.375	NA	3	9	0.192771084337349	NA	NA	0.072289156626506	NA
"5"	1	5	69	"cricket"	1	63	66	76	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	6	0.206349206349206	NA	NA	0.0476190476190476	NA
"41"	2	1	93	"ant"	1	60	60	72	0	0	0	0	0	1	1	1	NA	NA	"0"	0	NA	2	33	0.2	NA	NA	0	NA
"42"	2	2	78	"bee"	1	65	65	78	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0"	0	NA	2	13	0.2	NA	NA	0	NA
"43"	2	3	59	"flamingo"	1	45	45	54	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0"	0	NA	2	14	0.2	NA	NA	0	NA
"44"	2	4	74	"crane"	1	80	80	64	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0"	0	NA	2	6	0.2	NA	NA	0	NA
"45"	2	5	69	"cricket"	1	65	65	77	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0"	0	NA	2	4	0.184615384615385	NA	NA	0	NA
"112"	4	31	93	"ant"	1	32	32	38	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0"	0	NA	2	61	0.1875	NA	NA	0	NA
"113"	4	32	78	"bee"	1	38	38	45	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0"	0	NA	2	40	0.184210526315789	NA	NA	0	NA
"114"	4	33	59	"flamingo"	1	30	30	35	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0"	0	NA	2	29	0.166666666666667	NA	NA	0	NA
"115"	4	34	74	"crane"	1	50	50	60	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0"	0	NA	2	24	0.2	NA	NA	0	NA
"116"	4	35	69	"cricket"	1	45	45	54	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0"	0	NA	2	24	0.2	NA	NA	0	NA
"134"	6	6	93	"ant"	1	67	73	80	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	26	0.194029850746269	NA	NA	0.0895522388059701	NA
"135"	6	7	78	"bee"	1	61	65	74	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.307692307692308"	0.307692307692308	NA	3	17	0.213114754098361	NA	NA	0.0655737704918033	NA
"136"	6	8	59	"flamingo"	1	44	48	52	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.5"	0.5	NA	3	15	0.181818181818182	NA	NA	0.0909090909090909	NA
"137"	6	9	74	"crane"	1	60	67	72	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.583333333333333"	0.583333333333333	NA	3	14	0.2	NA	NA	0.116666666666667	NA
"138"	6	10	69	"cricket"	1	61	66	73	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	8	0.19672131147541	NA	NA	0.0819672131147541	NA
"169"	7	1	93	"ant"	1	90	95	100	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	3	0.111111111111111	NA	NA	0.0555555555555556	NA
"170"	7	2	78	"bee"	1	70	76	84	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.428571428571429"	0.428571428571429	NA	3	8	0.2	NA	NA	0.0857142857142857	NA
"171"	7	3	59	"flamingo"	1	63	60	50	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	4	0.206349206349206	NA	NA	0.0476190476190476	NA
"172"	7	4	74	"crane"	1	85	80	68	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.294117647058823"	0.294117647058824	NA	3	11	0.2	NA	NA	0.0588235294117647	NA
"173"	7	5	69	"cricket"	1	75	73	60	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.133333333333333"	0.133333333333333	NA	3	6	0.2	NA	NA	0.0266666666666667	NA
"245"	9	36	93	"ant"	1	66	77	80	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.785714285714286"	0.785714285714286	NA	3	27	0.212121212121212	NA	NA	0.166666666666667	NA
"246"	9	37	78	"bee"	1	57	62	68	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	21	0.192982456140351	NA	NA	0.087719298245614	NA
"247"	9	38	59	"flamingo"	1	53	56	64	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	6	0.207547169811321	NA	NA	0.0566037735849057	NA
"248"	9	39	74	"crane"	1	60	65	72	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	14	0.2	NA	NA	0.0833333333333333	NA
"249"	9	40	69	"cricket"	1	60	65	72	NA	NA	NA	NA	NA	5	30	5	27	1	"0.416666666666667"	0.416666666666667	NA	3	9	0.2	NA	NA	0.0833333333333333	NA
"280"	10	31	93	"ant"	1	65	69	78	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.307692307692308"	0.307692307692308	NA	3	28	0.2	NA	NA	0.0615384615384615	NA
"281"	10	32	78	"bee"	1	80	71	65	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.6"	0.6	NA	3	2	0.1875	NA	NA	0.1125	NA
"282"	10	33	59	"flamingo"	1	78	73	64	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.357142857142857"	0.357142857142857	NA	3	19	0.179487179487179	NA	NA	0.0641025641025641	NA
"283"	10	34	74	"crane"	1	84	81	67	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.176470588235294"	0.176470588235294	NA	3	10	0.202380952380952	NA	NA	0.0357142857142857	NA
"284"	10	35	69	"cricket"	1	68	73	80	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	1	0.176470588235294	NA	NA	0.0735294117647059	NA
"325"	11	36	93	"ant"	1	83	88	100	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.294117647058823"	0.294117647058824	NA	3	10	0.204819277108434	NA	NA	0.0602409638554217	NA
"326"	11	37	78	"bee"	1	51	54	62	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	27	0.215686274509804	NA	NA	0.0588235294117647	NA
"327"	11	38	59	"flamingo"	1	65	61	52	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.307692307692308"	0.307692307692308	NA	3	6	0.2	NA	NA	0.0615384615384615	NA
"328"	11	39	74	"crane"	1	77	73	62	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.266666666666667"	0.266666666666667	NA	3	3	0.194805194805195	NA	NA	0.051948051948052	NA
"329"	11	40	69	"cricket"	1	53	55	65	NA	NA	NA	NA	NA	5	30	5	33	1	"0.166666666666667"	0.166666666666667	NA	3	16	0.226415094339623	NA	NA	0.0377358490566038	NA
"335"	12	6	93	"ant"	1	52	52	62	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0"	0	NA	2	41	0.192307692307692	NA	NA	0	NA
"336"	12	7	78	"bee"	1	70	77	84	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.5"	0.5	NA	3	8	0.2	NA	NA	0.1	NA
"337"	12	8	59	"flamingo"	1	69	60	55	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.642857142857143"	0.642857142857143	NA	3	10	0.202898550724638	NA	NA	0.130434782608696	NA
"338"	12	9	74	"crane"	1	75	76	60	NA	NA	NA	NA	NA	4	1	5	NA	NA	"-0.066666666666667"	-0.0666666666666667	NA	1	1	0.2	NA	NA	0.0133333333333333	NA
"339"	12	10	69	"cricket"	1	68	66	80	NA	NA	NA	NA	NA	5	1	5	NA	NA	"-0.166666666666667"	-0.166666666666667	NA	1	1	0.176470588235294	NA	NA	0.0294117647058824	NA
"370"	13	1	93	"ant"	1	35	40	42	0	0	0	0	0	1	1	1	NA	NA	"0.714285714285714"	0.714285714285714	NA	3	58	0.2	NA	NA	0.142857142857143	NA
"371"	13	2	78	"bee"	1	35	35	41	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0"	0	NA	2	43	0.171428571428571	NA	NA	0	NA
"372"	13	3	59	"flamingo"	1	40	43	48	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.375"	0.375	NA	3	19	0.2	NA	NA	0.075	NA
"373"	13	4	74	"crane"	1	35	40	42	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.714285714285714"	0.714285714285714	NA	3	39	0.2	NA	NA	0.142857142857143	NA
"374"	13	5	69	"cricket"	1	30	33	35	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.6"	0.6	NA	3	39	0.166666666666667	NA	NA	0.1	NA
"410"	14	1	93	"ant"	1	55	60	65	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	38	0.181818181818182	NA	NA	0.0909090909090909	NA
"411"	14	2	78	"bee"	1	75	80	90	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	3	0.2	NA	NA	0.0666666666666667	NA
"412"	14	3	59	"flamingo"	1	45	45	54	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0"	0	NA	2	14	0.2	NA	NA	0	NA
"413"	14	4	74	"crane"	1	75	70	60	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	1	0.2	NA	NA	0.0666666666666667	NA
"414"	14	5	69	"cricket"	1	55	60	66	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	14	0.2	NA	NA	0.0909090909090909	NA
"519"	16	31	93	"ant"	1	70	75	84	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.357142857142857"	0.357142857142857	NA	3	23	0.2	NA	NA	0.0714285714285714	NA
"520"	16	32	78	"bee"	1	72	75	85	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	6	0.180555555555556	NA	NA	0.0416666666666667	NA
"521"	16	33	59	"flamingo"	1	53	56	64	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	6	0.207547169811321	NA	NA	0.0566037735849057	NA
"522"	16	34	74	"crane"	1	90	87	72	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.166666666666667"	0.166666666666667	NA	3	16	0.2	NA	NA	0.0333333333333333	NA
"523"	16	35	69	"cricket"	1	77	77	62	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0"	0	NA	2	8	0.194805194805195	NA	NA	0	NA
"564"	17	36	93	"ant"	1	39	40	46	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.142857142857143"	0.142857142857143	NA	3	54	0.179487179487179	NA	NA	0.0256410256410256	NA
"565"	17	37	78	"bee"	1	50	51	60	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.1"	0.1	NA	3	28	0.2	NA	NA	0.02	NA
