"playerNr"	"period"	"nAnimals"	"animalName"	"treatment"	"firstEstimate"	"secondEstimate"	"p1"	"p2"	"p3"	"meanP"	"varP"	"skewP"	"counterI"	"counterII"	"counterIII"	"age"	"gender"	"SocInfo"	"S"	"emulTreat"	"case"	"inaccuracy"	"d1"	"d2"	"d3"	"e2"	"normS"
"566"	17	38	59	"flamingo"	1	50	51	60	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.1"	0.1	NA	3	9	0.2	NA	NA	0.02	NA
"567"	17	39	74	"crane"	1	62	63	74	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.083333333333333"	0.0833333333333333	NA	3	12	0.193548387096774	NA	NA	0.0161290322580645	NA
"568"	17	40	69	"cricket"	1	54	54	65	NA	NA	NA	NA	NA	5	30	5	41	1	"0"	0	NA	2	15	0.203703703703704	NA	NA	0	NA
"574"	18	6	93	"ant"	1	55	61	65	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.6"	0.6	NA	3	38	0.181818181818182	NA	NA	0.109090909090909	NA
"575"	18	7	78	"bee"	1	61	71	74	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.769230769230769"	0.769230769230769	NA	3	17	0.213114754098361	NA	NA	0.163934426229508	NA
"576"	18	8	59	"flamingo"	1	56	66	68	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.833333333333333"	0.833333333333333	NA	3	3	0.214285714285714	NA	NA	0.178571428571429	NA
"577"	18	9	74	"crane"	1	74	70	60	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	0	0.189189189189189	NA	NA	0.0540540540540541	NA
"578"	18	10	69	"cricket"	1	62	68	75	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	7	0.209677419354839	NA	NA	0.0967741935483871	NA
"609"	19	1	93	"ant"	1	50	55	60	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	43	0.2	NA	NA	0.1	NA
"610"	19	2	78	"bee"	1	43	45	52	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.222222222222222"	0.222222222222222	NA	3	35	0.209302325581395	NA	NA	0.0465116279069767	NA
"611"	19	3	59	"flamingo"	1	53	56	64	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.272727272727273"	0.272727272727273	NA	3	6	0.207547169811321	NA	NA	0.0566037735849057	NA
"612"	19	4	74	"crane"	1	59	62	71	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.25"	0.25	NA	3	15	0.203389830508475	NA	NA	0.0508474576271186	NA
"613"	19	5	69	"cricket"	1	44	47	53	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	25	0.204545454545455	NA	NA	0.0681818181818182	NA
"649"	20	1	93	"ant"	1	39	46	46	0	0	0	0	0	1	1	1	NA	NA	"1"	1	NA	4	54	0.179487179487179	NA	NA	0.179487179487179	NA
"650"	20	2	78	"bee"	1	58	48	70	NA	NA	NA	NA	NA	2	1	1	NA	NA	"-0.833333333333333"	-0.833333333333333	NA	1	20	0.206896551724138	NA	NA	0.172413793103448	NA
"651"	20	3	59	"flamingo"	1	56	70	68	NA	NA	NA	NA	NA	3	1	1	NA	NA	"1.16666666666667"	1.16666666666667	NA	9	3	0.214285714285714	NA	NA	0.25	NA
"652"	20	4	74	"crane"	1	71	62	83	NA	NA	NA	NA	NA	4	1	1	NA	NA	"-0.75"	-0.75	NA	1	3	0.169014084507042	NA	NA	0.126760563380282	NA
"653"	20	5	69	"cricket"	1	75	74	60	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.066666666666667"	0.0666666666666667	NA	3	6	0.2	NA	NA	0.0133333333333333	NA
"722"	22	31	93	"ant"	1	75	80	90	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	18	0.2	NA	NA	0.0666666666666667	NA
"723"	22	32	78	"bee"	1	70	75	84	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.357142857142857"	0.357142857142857	NA	3	8	0.2	NA	NA	0.0714285714285714	NA
"724"	22	33	59	"flamingo"	1	60	55	48	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	1	0.2	NA	NA	0.0833333333333333	NA
"725"	22	34	74	"crane"	1	70	75	83	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.384615384615385"	0.384615384615385	NA	3	4	0.185714285714286	NA	NA	0.0714285714285714	NA
"726"	22	35	69	"cricket"	1	55	60	66	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	14	0.2	NA	NA	0.0909090909090909	NA
"767"	23	36	93	"ant"	1	73	77	89	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.25"	0.25	NA	3	20	0.219178082191781	NA	NA	0.0547945205479452	NA
"768"	23	37	78	"bee"	1	67	70	80	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	11	0.194029850746269	NA	NA	0.0447761194029851	NA
"769"	23	38	59	"flamingo"	1	56	60	68	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	3	0.214285714285714	NA	NA	0.0714285714285714	NA
"770"	23	39	74	"crane"	1	70	73	83	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	4	0.185714285714286	NA	NA	0.0428571428571429	NA
"771"	23	40	69	"cricket"	1	66	70	80	NA	NA	NA	NA	NA	5	30	5	45	2	"0.285714285714286"	0.285714285714286	NA	3	3	0.212121212121212	NA	NA	0.0606060606060606	NA
"777"	24	6	93	"ant"	1	73	81	89	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.5"	0.5	NA	3	20	0.219178082191781	NA	NA	0.10958904109589	NA
"778"	24	7	78	"bee"	1	67	73	80	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	11	0.194029850746269	NA	NA	0.0895522388059701	NA
"779"	24	8	59	"flamingo"	1	43	46	52	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	16	0.209302325581395	NA	NA	0.0697674418604651	NA
"780"	24	9	74	"crane"	1	57	61	68	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.363636363636364"	0.363636363636364	NA	3	17	0.192982456140351	NA	NA	0.0701754385964912	NA
"781"	24	10	69	"cricket"	1	33	34	40	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.142857142857143"	0.142857142857143	NA	3	36	0.212121212121212	NA	NA	0.0303030303030303	NA
"812"	25	1	93	"ant"	1	81	81	98	0	0	0	0	0	1	1	1	NA	NA	"0"	0	NA	2	12	0.209876543209877	NA	NA	0	NA
"813"	25	2	78	"bee"	1	90	89	72	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.055555555555556"	0.0555555555555556	NA	3	12	0.2	NA	NA	0.0111111111111111	NA
"814"	25	3	59	"flamingo"	1	82	81	66	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.0625"	0.0625	NA	3	23	0.195121951219512	NA	NA	0.0121951219512195	NA
"815"	25	4	74	"crane"	1	97	96	78	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.052631578947369"	0.0526315789473684	NA	3	23	0.195876288659794	NA	NA	0.0103092783505155	NA
"816"	25	5	69	"cricket"	1	86	85	69	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.058823529411765"	0.0588235294117647	NA	3	17	0.197674418604651	NA	NA	0.0116279069767442	NA
"852"	26	1	93	"ant"	1	50	55	60	0	0	0	0	0	1	1	1	NA	NA	"0.5"	0.5	NA	3	43	0.2	NA	NA	0.1	NA
"853"	26	2	78	"bee"	1	46	50	55	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.444444444444444"	0.444444444444444	NA	3	32	0.195652173913043	NA	NA	0.0869565217391304	NA
"854"	26	3	59	"flamingo"	1	50	55	60	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.5"	0.5	NA	3	9	0.2	NA	NA	0.1	NA
"855"	26	4	74	"crane"	1	65	71	78	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	9	0.2	NA	NA	0.0923076923076923	NA
"856"	26	5	69	"cricket"	1	35	39	42	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.571428571428571"	0.571428571428571	NA	3	34	0.2	NA	NA	0.114285714285714	NA
"927"	27	36	93	"ant"	1	66	70	80	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	27	0.212121212121212	NA	NA	0.0606060606060606	NA
"928"	27	37	78	"bee"	1	65	67	78	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.153846153846154"	0.153846153846154	NA	3	13	0.2	NA	NA	0.0307692307692308	NA
"929"	27	38	59	"flamingo"	1	55	57	66	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	4	0.2	NA	NA	0.0363636363636364	NA
"930"	27	39	74	"crane"	1	53	59	64	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.545454545454545"	0.545454545454545	NA	3	21	0.207547169811321	NA	NA	0.113207547169811	NA
"931"	27	40	69	"cricket"	1	50	53	60	NA	NA	NA	NA	NA	5	30	5	28	1	"0.3"	0.3	NA	3	19	0.2	NA	NA	0.06	NA
"962"	28	31	93	"ant"	1	84	89	100	NA	NA	NA	NA	NA	1	30	1	NA	NA	"0.3125"	0.3125	NA	3	9	0.19047619047619	NA	NA	0.0595238095238095	NA
"963"	28	32	78	"bee"	1	72	75	85	NA	NA	NA	NA	NA	2	30	1	NA	NA	"0.230769230769231"	0.230769230769231	NA	3	6	0.180555555555556	NA	NA	0.0416666666666667	NA
"964"	28	33	59	"flamingo"	1	57	59	68	NA	NA	NA	NA	NA	3	30	1	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	2	0.192982456140351	NA	NA	0.0350877192982456	NA
"965"	28	34	74	"crane"	1	73	75	88	NA	NA	NA	NA	NA	4	30	1	NA	NA	"0.133333333333333"	0.133333333333333	NA	3	1	0.205479452054795	NA	NA	0.0273972602739726	NA
"966"	28	35	69	"cricket"	1	61	64	73	NA	NA	NA	NA	NA	5	30	1	NA	NA	"0.25"	0.25	NA	3	8	0.19672131147541	NA	NA	0.0491803278688525	NA
"1007"	29	36	93	"ant"	1	110	105	89	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.238095238095238"	0.238095238095238	NA	3	17	0.190909090909091	NA	NA	0.0454545454545455	NA
"1008"	29	37	78	"bee"	1	105	100	84	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.238095238095238"	0.238095238095238	NA	3	27	0.2	NA	NA	0.0476190476190476	NA
"1009"	29	38	59	"flamingo"	1	85	80	68	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.294117647058823"	0.294117647058824	NA	3	26	0.2	NA	NA	0.0588235294117647	NA
"1010"	29	39	74	"crane"	1	110	105	88	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.227272727272727"	0.227272727272727	NA	3	36	0.2	NA	NA	0.0454545454545455	NA
"1011"	29	40	69	"cricket"	1	90	84	72	NA	NA	NA	NA	NA	5	30	5	38	2	"0.333333333333333"	0.333333333333333	NA	3	21	0.2	NA	NA	0.0666666666666667	NA
"1017"	30	6	93	"ant"	1	74	79	89	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	19	0.202702702702703	NA	NA	0.0675675675675676	NA
"1018"	30	7	78	"bee"	1	81	74	65	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.4375"	0.4375	NA	3	3	0.197530864197531	NA	NA	0.0864197530864197	NA
"1019"	30	8	59	"flamingo"	1	59	61	70	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	0	0.186440677966102	NA	NA	0.0338983050847458	NA
"1020"	30	9	74	"crane"	1	101	86	80	NA	NA	NA	NA	NA	4	1	5	NA	NA	"0.714285714285714"	0.714285714285714	NA	3	27	0.207920792079208	NA	NA	0.148514851485149	NA
"1021"	30	10	69	"cricket"	1	73	70	58	NA	NA	NA	NA	NA	5	1	5	NA	NA	"0.2"	0.2	NA	3	4	0.205479452054795	NA	NA	0.0410958904109589	NA
"1052"	31	1	93	"ant"	1	52	56	62	0	0	0	0	0	1	1	1	NA	NA	"0.4"	0.4	NA	3	41	0.192307692307692	NA	NA	0.0769230769230769	NA
"1053"	31	2	78	"bee"	1	46	50	55	NA	NA	NA	NA	NA	2	1	1	NA	NA	"0.444444444444444"	0.444444444444444	NA	3	32	0.195652173913043	NA	NA	0.0869565217391304	NA
"1054"	31	3	59	"flamingo"	1	40	44	48	NA	NA	NA	NA	NA	3	1	1	NA	NA	"0.5"	0.5	NA	3	19	0.2	NA	NA	0.1	NA
"1055"	31	4	74	"crane"	1	38	42	46	NA	NA	NA	NA	NA	4	1	1	NA	NA	"0.5"	0.5	NA	3	36	0.210526315789474	NA	NA	0.105263157894737	NA
"1056"	31	5	69	"cricket"	1	31	33	38	NA	NA	NA	NA	NA	5	1	1	NA	NA	"0.285714285714286"	0.285714285714286	NA	3	38	0.225806451612903	NA	NA	0.0645161290322581	NA
"1141"	33	36	93	"ant"	1	48	51	57	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	45	0.1875	NA	NA	0.0625	NA
"1142"	33	37	78	"bee"	1	58	59	70	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.083333333333333"	0.0833333333333333	NA	3	20	0.206896551724138	NA	NA	0.0172413793103448	NA
"1143"	33	38	59	"flamingo"	1	65	59	52	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.461538461538462"	0.461538461538462	NA	3	6	0.2	NA	NA	0.0923076923076923	NA
"1144"	33	39	74	"crane"	1	81	77	65	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.25"	0.25	NA	3	7	0.197530864197531	NA	NA	0.0493827160493827	NA
"1145"	33	40	69	"cricket"	1	60	61	72	NA	NA	NA	NA	NA	5	30	5	30	1	"0.083333333333333"	0.0833333333333333	NA	3	9	0.2	NA	NA	0.0166666666666667	NA
"1210"	35	36	93	"ant"	1	97	89	78	NA	NA	NA	NA	NA	1	30	5	NA	NA	"0.421052631578947"	0.421052631578947	NA	3	4	0.195876288659794	NA	NA	0.0824742268041237	NA
"1211"	35	37	78	"bee"	1	74	81	88	NA	NA	NA	NA	NA	2	30	5	NA	NA	"0.5"	0.5	NA	3	4	0.189189189189189	NA	NA	0.0945945945945946	NA
"1212"	35	38	59	"flamingo"	1	59	54	48	NA	NA	NA	NA	NA	3	30	5	NA	NA	"0.454545454545455"	0.454545454545455	NA	3	0	0.186440677966102	NA	NA	0.0847457627118644	NA
"1213"	35	39	74	"crane"	1	62	66	74	NA	NA	NA	NA	NA	4	30	5	NA	NA	"0.333333333333333"	0.333333333333333	NA	3	12	0.193548387096774	NA	NA	0.0645161290322581	NA
"1214"	35	40	69	"cricket"	1	75	72	60	NA	NA	NA	NA	NA	5	30	5	53	2	"0.2"	0.2	NA	3	6	0.2	NA	NA	0.04	NA
"1220"	36	6	93	"ant"	1	62	67	74	NA	NA	NA	NA	NA	1	1	5	NA	NA	"0.416666666666667"	0.416666666666667	NA	3	31	0.193548387096774	NA	NA	0.0806451612903226	NA
"1221"	36	7	78	"bee"	1	51	53	62	NA	NA	NA	NA	NA	2	1	5	NA	NA	"0.181818181818182"	0.181818181818182	NA	3	27	0.215686274509804	NA	NA	0.0392156862745098	NA
"1222"	36	8	59	"flamingo"	1	44	47	52	NA	NA	NA	NA	NA	3	1	5	NA	NA	"0.375"	0.375	NA	3	15	0.181818181818182	NA	NA	0.0681818181818182	NA
