playerNr;period;nAnimals;animalName;treatment;firstEstimate;secondEstimate;p1;p2;p3;meanP;varP;skewP;age;gender;SocInfo
4;4;85;crane;6;66;70;101;104;140;115;471;0.377;;;0.081632653
4;5;84;cricket;6;55;55;72;85;108;88.333;332.333;0.177;;;0
4;6;60;ant;3;35;35;36;37;54;42.333;102.333;0.381;;;0
4;7;98;bee;6;60;60;84;106;110;100;196;-0.35;;;0
4;8;50;flamingo;6;32;32;25;39;59;41;292;0.115;;;0
4;9;62;crane;6;43;43;77;82;85;81.333;16.333;-0.16;;;0
4;10;71;cricket;5;52;52;56;58;74;62.667;97.333;0.367;;;0
4;11;88;ant;4;50;50;51;67;69;62.333;97.333;-0.367;;;0
4;12;59;bee;2;31;31;35;36;41;37.333;10.333;0.343;;;0
4;13;93;flamingo;2;65;65;75;78;81;78;9;0;;;0
4;14;99;crane;5;75;75;82;86;101;89.667;100.333;0.317;;;0
4;15;58;cricket;4;34;34;35;52;53;46.667;102.333;-0.381;;;0
4;16;79;ant;5;47;47;50;51;68;56.333;102.333;0.381;;;0
4;17;50;bee;4;25;25;26;42;44;37.333;97.333;-0.367;;;0
4;18;69;flamingo;6;45;45;21;70;77;56;931;-0.362;;;0
4;19;52;crane;4;33;33;34;50;52;45.333;97.333;-0.367;;;0
4;20;97;cricket;6;75;75;81;95;133;103;724;0.271;;;0
4;21;71;ant;2;37;37;41;44;48;44.333;12.333;0.094;;;0
4;22;97;bee;6;43;43;55;89;91;78.333;409.333;-0.381;;;0
4;23;89;flamingo;3;58;58;59;69;79;69;100;0;;;0
4;24;93;crane;3;66;66;69;78;89;78.667;100.333;0.066;;;0
4;25;58;cricket;2;33;33;37;39;43;39.667;9.333;0.208;;;0
4;26;53;ant;6;31;31;32;34;60;42;244;0.378;;;0
4;27;80;bee;3;45;45;47;51;66;54.667;100.333;0.317;;;0
4;28;58;flamingo;4;35;35;37;53;55;48.333;97.333;-0.367;;;0
4;29;86;crane;2;68;68;79;80;85;81.333;10.333;0.343;;;0
4;30;70;cricket;3;46;46;47;57;67;57;100;0;;;0
4;31;93;ant;1;32;32;38;;;;;;;;0
4;32;78;bee;1;38;38;45;;;;;;;;0
4;33;59;flamingo;1;30;30;35;;;;;;;;0
4;34;74;crane;1;50;50;60;;;;;;;;0
4;35;69;cricket;1;45;45;54;;;;;;;;0
4;36;60;ant;7;66;40;43;53;63;53;100;0;;;2
4;37;77;bee;7;45;45;46;50;65;53.667;100.333;0.317;;;0
4;38;93;flamingo;7;84;75;97;102;103;100.667;10.333;-0.343;;;-0.5399892
4;39;85;crane;7;74;74;75;87;106;89.333;244.333;0.146;;;0
4;40;58;cricket;7;39;39;40;56;58;51.333;97.333;-0.367;28;2;0
6;1;60;ant;7;33;35;34;35;51;40;91;0.38;;;0.285714286
6;2;77;bee;7;71;82;79;80;96;85;91;0.38;;;0.785714286
6;3;93;flamingo;7;76;89;89;91;94;91.333;6.333;0.13;;;0.847844518
6;4;85;crane;7;55;70;46;84;96;75.333;681.333;-0.295;;;0.737717012
6;5;58;cricket;7;74;65;53;54;71;59.333;102.333;0.381;;;0.613622418
6;6;93;ant;1;67;73;80;;;;;;;;0.461538462
6;7;78;bee;1;61;65;74;;;;;;;;0.307692308
6;8;59;flamingo;1;44;48;52;;;;;;;;0.5
6;9;74;crane;1;60;67;72;;;;;;;;0.583333333
6;10;69;cricket;1;61;66;73;;;;;;;;0.416666667
6;11;98;ant;6;70;66;39;66;118;74.333;1.612.333;0.199;;;-0.923147934
6;12;77;bee;5;63;70;71;72;89;77.333;102.333;0.381;;;0.488383451
6;13;98;flamingo;5;78;85;87;90;106;94.333;104.333;0.348;;;0.428580175
6;14;85;crane;6;66;95;101;104;140;115;471;0.377;;;0.591836735
6;15;84;cricket;6;50;80;76;85;101;87.333;160.333;0.178;;;0.803578603
6;16;60;ant;3;47;50;48;54;67;56.333;94.333;0.226;;;0.321440051
6;17;98;bee;6;69;71;58;81;120;86.333;982.333;0.165;;;0.115386834
